Name;Address;Postal Code;City;Country;ATV;Customer
Rituals Viernheim Rhein Neckar Zentrum;Robert-Schuman-Straße 8;68519;Viernheim;Germany;43;46845
Rituals Gütersloh;Berliner Straße 41;33330;Guetersloh;Germany;41;46771
Rituals Sankt Augustin HUMA;Rathausallee 16;53757;Sankt Augustin;Germany;37;28479
Rituals Stuttgart Gerber;Sophienstraße 21;70178;Stuttgart;Germany;43;36618
Rituals Flensburg Citti Park;Langberger Weg 4;24941;Flensburg;Germany;38;19555
Rituals Leipzig Höfe am Brühl;Brühl 1;04109;Leipzig;Germany;45;32486
Rituals Bayreuth Rotmain Center;Hohenzollernring 58;95444;Bayreuth;Germany;20;40154
Rituals Reutlingen;Wilhelmstraße 34;72764;Reutlingen;Germany;26;11449
Rituals Dresden Kaufpark;Dohaer Strasse 246;01239;Dresden;Germany;37;25430
Rituals Lüdenscheid Stern Center;Wilhelmstraße 33;58511;Lüdenscheid;Germany;33;21985
Rituals Nürnberg Franken Center;Glogauer Straße 30-38;90473;Nürnberg;Germany;19;15179
Rituals Recklinghausen Palais Vest;Löhrhof 1;45657;Recklinghausen;Germany;46;36328
Rituals Schwedt;Landgrabenpark 1;16303;Schwedt;Germany;34;43255
Rituals Bremen Waterfront;AG-Weser-Straße 3;28237;Bremen;Germany;27;28323
Rituals Ahrensfelde Kaufpark Eiche;Landsberger Chaussee 17;16356;Ahrensfelde;Germany;46;16326
Rituals Konstanz Lago;Bodanstraße 1;78462;Konstanz;Germany;50;41605
Rituals Aurich;Marktplatz 32;26603;Aurich;Germany;48;15911
Rituals Neustadt a.d. Weinstraße;Hauptstraße 54;67433;Neustadt a.d. Weinstraße;Germany;44;48834
Rituals Lingen;Poststrasse 5;49808;Lingen;Germany;47;33324
Rituals Schweinfurt;Gunnar-Wester-Straße 10;97421;Schweinfurt;Germany;18;31233
Rituals Leuna;Nova Eventis 1;06237;Leuna;Germany;41;19823
Rituals Düren;Kuhgasse 8;52349;Düren;Germany;28;18546
Rituals Ansbach Brücken Center;Residenzstraße 2-6;91522;Ansbach;Germany;27;18797
Rituals Köln Ehrenstraße;Ehrenstraße 43-45;50672;Köln;Germany;21;46301
Rituals Braunschweig Schloß Arkaden;Platz am Ritterbrunnen 1;38100;Braunschweig;Germany;46;11345
Rituals Detmold;Lange Straße 34;32756;Detmold;Germany;44;46371
Rituals Plauen Stadt Galerie;Postplatz 1;08523;Plauen;Germany;36;42874
Rituals Kleve;Große Straße 63;47533;Kleve;Germany;18;11049
Rituals Dresden Altmarkt Galerie;Webergasse 1;01067;Dresden;Germany;43;18180
Rituals Lüneburg Große Bäckerstraße;Große Bäckerstraße 8a;21335;Lüneburg;Germany;45;45586
Rituals Euskirchen;Neustraße 27;53879;Euskirchen;Germany;26;27824
Rituals Wiesbaden Kirchgasse;Kirchgasse 36;65183;Wiesbaden;Germany;29;19333
Rituals Berlin Hallen am Borsigturm;Am Borigturm 2;13507;Berlin;Germany;20;33854
Rituals Darmstadt Luisencenter;Luisenplatz 5;64283;Darmstadt;Germany;44;16719
Rituals Hamburg Elbe;Osdorfer Landstrasse 131-135;22609;Hamburg;Germany;21;29463
Rituals München Riem;Willy Brandt Platz 5;81829;München;Germany;40;23203
Rituals Husum THEO - Shopping Center;Großstrasse 15-17/ Schloßstrasse;25813;Husum;Germany;31;27587
Rituals Straubing Ludwigsplatz;Ludwigsplatz 35;94315;Straubing;Germany;25;20526
Rituals Erlangen Arcaden;Nürnberger Straße 7;91052;Erlangen;Germany;29;47497
Rituals Berlin Leipziger Platz (Mall of Berlin);Leipziger Platz 12;10117;Berlin;Germany;39;46668
Rituals Koblenz Löhr Center;Hohenfelder Straße 22;56068;Koblenz;Germany;15;11840
Rituals Mülheim Rhein Ruhr Centrum;Humboldtring 13;45472;Mülheim;Germany;20;16367
Rituals Duisburg Forum;Königstraße 48;47051;Duisburg;Germany;32;35842
Rituals Remscheid Allee Center;Theodor-Heuss-Platz 7;42853;Remscheid;Germany;27;38706
Rituals München Pasing;Pasinger Bahnhofsplatz 5;81241;München;Germany;20;25496
Rituals Berlin Friedrichstraße;Friedrichstraße 149;10117;Berlin;Germany;26;21120
Rituals Berlin Wildau;Chausseestraße 1;15745;Wildau;Germany;24;14143
Rituals Singen Cano;Bahnhofstrasse 29;78224;Singen Hohentwiel;Germany;48;43654
Rituals Hameln;Stadt Galerie Pferdemarkt 1;31785;Hameln;Germany;33;25041
Rituals Villingen-Schwenningen;Rietstraße 3;78050;Villingen-Schwenningen;Germany;49;44952
Rituals Hamburg Gerhofstraße;Gerhofstsraße 2-8;20354;Hamburg;Germany;22;42530
Rituals Berlin Schönhauser Allee;Schönhauserallee 79;10439;Berlin;Germany;44;36231
Rituals Hamm Allee Center;Richard-Matthaei-Platz 1;59065;Hamm;Germany;27;36072
Rituals Aalen Kubus;Marktplatz 26;73430;Aalen;Germany;37;45941
Rituals Köln Rhein-Center;Aachenerstraße 1253;50858;Köln;Germany;36;22785
Rituals Celle;Zöllnerstraße 5;29221;Celle;Germany;31;36057
Rituals Hamburg Europa Passage;Ballindamm 40;20095;Hamburg;Germany;15;32145
Rituals Regensburg;Königstraße 2-4;93047;Regensburg;Germany;20;13708
Rituals Münster;Ludgeristraße 24;48143;Münster;Germany;43;49971
Rituals Giessen;Seltersweg 44;35390;Giessen;Germany;27;22373
Rituals Oberhausen Centro;Centroallee 124/125;46047;Oberhausen;Germany;39;35482
Rituals Bergisch Gladbach;Hauptstraße 141 - 143;51465;Bergisch Gladbach;Germany;33;38975
Rituals Neunkirchen Saar Park;Stummstraße 1;66538;Neunkirchen;Germany;25;26066
Rituals Limburg;Werner-Senger-Straße 4;65549;Limburg;Germany;35;37481
Rituals Garmisch-Partenkirchen;Chamonixstr. 1;82467;Garmisch-Partenkirchen;Germany;32;32815
Rituals Ludwigsburg Breuningerland;Heinkelstraße 1;71634;Ludwigsburg;Germany;17;21404
Rituals München OEZ;Hanauer Straße 68;80993;München;Germany;44;44573
Rituals Mannheim O3;O3 2-8;68161;Mannheim;Germany;23;21232
Rituals Bielefeld Loom;Bahnhofstraße 28;33602;Bielefeld;Germany;33;46189
Rituals Leonberg Leo Center;Leonberger Straße 98-108;71229;Leonberg;Germany;39;41716
Rituals Düsseldorf Flinger Straße;Flinger Str. 34;40213;Düsseldorf;Germany;25;21819
Rituals Köln Schildergasse;Schildergasse 95-101;50667;Köln;Germany;29;34745
Rituals Ludwigshafen;Im Zollhof 4;67061;Ludwigshafen;Germany;20;34091
Rituals Dinslaken Neutor Galerie;Neutorplatz 14;46535;Dinslaken;Germany;29;25363
Rituals Karlsruhe Ettlinger Tor;Karl-Friedrich-Straße 26;76133;Karlsruhe;Germany;46;11410
Rituals München Karlsplatz;Karlsplatz 10;80335;München;Germany;16;41077
Rituals Rosenheim;Münchener Strasse 6;83022;Rosenheim;Germany;25;24034
Rituals Lübeck;Breite Straße 47-53;23552;Lu?beck;Germany;49;42467
Rituals Greifswald Markt;Markt 30;17489;Greifswald;Germany;42;12634
Rituals Gera Arcaden;Heinrichstraße 30;07545;Gera;Germany;37;35960
Rituals Tübingen;Neckargasse 27;72070;Tübingen;Germany;39;10563
Rituals München PEP;Thomas Dehler Strasse 10;81737;München;Germany;19;11874
Rituals Dessau Rathaus Galerie;Kavalierstraße 49;06844;Dessau;Germany;40;43097
Rituals Rostock Kröpeliner Straße;Kröpeliner Straße 64;18055;Rostock;Germany;33;29506
Rituals Siegen;City Galerie Siegen;57072;Siegen;Germany;23;26250
Rituals Köln Hauptbahnhof;Trankgasse 11;50667;Köln;Germany;19;28775
Rituals Frankfurt am Main Zeil;Zeil 112-114;60313;Frankfurt am Main;Germany;43;11675
Rituals Ottersberg Posthausen Dodenhof;Posthausen 1;28869;Ottersberg-Posthausen;Germany;30;14609
Rituals Neumünster Designer Outlet;Oderstraße 10;24539;Neumünster;Germany;21;40473
Rituals Erfurt;Anger 60;99084;Erfurt;Germany;35;17936
Rituals Gummersbach;Steinmüllerallee 5;51643;Gummersbach;Germany;32;11382
Rituals Neu Ulm Glacis Galerie;Bahnhofstraße 1/3;89231;Neu-Ulm;Germany;34;26457
Rituals Arnsberg;Hauptstraße 21;59755;Arnsberg;Germany;29;11683
Rituals Berlin Alexa;Grunerstr.20;10179;Berlin;Germany;44;47974
Rituals Göppingen Agnes;Bleichstraße 29;73033;Göppingen;Germany;45;31314
Rituals Esslingen;Berliner Straße 2-4;73728;Esslingen;Germany;16;29428
Rituals Leipzig Grimmaische Straße;Grimmaische Straße 19;04109;Leipzig;Germany;43;14199
Rituals München Hauptbahnhof;Bayerstrasse 10a;80335;München;Germany;47;30864
Rituals Rheine;Emsstraße 36;48431;Rheine;Germany;26;35265
Rituals Berlin Das Schloß;Schlossstraße 33-36;12163;Berlin;Germany;46;36481
Rituals Stade;Holzstraße 18;21682;Stade;Germany;42;46523
Rituals Mönchengladbach Minto;Hindenburgstraße 73;41061;Mönchengladbach;Germany;40;35890
Rituals Hannover EAG;Ernst-August-Platz 2;30159;Hannover;Germany;28;17640
Rituals Bremen Sögestraße;Sögestraße 37/39;28195;Bremen;Germany;22;38415
Rituals Wuppertal;Alte Freiheit 9;42103;Wuppertal;Germany;48;15944
Rituals Bonn;Marktbrücke 4;53111;Bonn;Germany;25;11261
Rituals Solingen;Kölner Straße 99;42651;Solingen;Germany;26;17779
Rituals Kaiserslautern;Fackelrondell 1;67655;Kaiserslautern;Germany;18;23655
Rituals Köln Neumarkt;Neumarkt 2-4;50667;Köln;Germany;37;43671
Rituals Würzburg;Schönbomstrasse 2;97070;Würzburg;Germany;45;39320
Rituals Essen Kettwiger Straße;Kettwiger Straße 43;45127;Essen;Germany;49;16036
Rituals Düsseldorf Schadow Arkaden;Schadowstraße 11;40212;Düsseldorf;Germany;44;15834
Rituals München Theatinerstraße;Theatinerstraße 29;80333;München;Germany;17;14510
Rituals Ratingen;Marktplatz 21;40878;Ratingen;Germany;37;40462
Rituals Paderborn;Westernstraße 16;33098;Paderborn;Germany;43;26677
Rituals Berlin Wustermark Designer Outlet;Alter Spandauer Weg 1;14641;Wustermark Berlin;Germany;44;44776
Rituals Hannover Kröpcke;Karmarschstraße 19-23d;30159;Hannover;Germany;37;47639
Rituals Köln Arcaden;Kalker Hauptstraße 55;51103;Köln;Germany;46;18519
Rituals Offenburg;Hauptstraße 84-88;77652;Offenburg;Germany;25;45864
Rituals Berlin Gesundbrunnen;Badstraße 4;13357;Berlin;Germany;21;18714
Rituals Berlin Spandau;Klosterstraße 3;13581;Berlin;Germany;27;30053
Rituals Zweibrücken Fashion Outlet;Londoner Bogen 10-90;66482;Zweibrücken;Germany;22;31622
Rituals Sindelfingen Breuningerland;Tilsiter Straße 15;71065;Sindelfingen;Germany;46;16500
Rituals Dresden Elbe Park;Peschelstraße 33;01139;Dresden;Germany;21;17109
Rituals Dresden;Trompeterstraße 5;01069;Dresden;Germany;33;42606
Rituals Neuss Rheinpark-Center;Breslauer Straße 2;41460;Neuss;Germany;45;30034
Rituals Kempten;August-Fischer-Platz 1;87435;Kempten;Germany;30;23967
Rituals Stuttgart Königstrasse;Königstraße 46;70173;Stuttgart;Germany;39;13189
Rituals Stralsund;Ossenreyerstraße 27;18439;Stralsund;Germany;44;30230
Rituals Bremen Weserpark;Hans-Bredow-Straße 19;28307;Bremen;Germany;41;44785
Rituals Sylt-Westerland;Friedrichstraße 25;25980;Sylt-Westerland;Germany;16;17606
Rituals Minden;Bäckerstraße 9;32423;Minden;Germany;27;42353
Rituals Stuttgart Milaneo;Mailänder Platz 7;70713;Stuttgart;Germany;28;10584
Rituals Hagen Rathaus Galerie;Mittelstraße 22;58095;Hagen;Germany;24;42668
Rituals Krefeld;Hochstraße 82;47798;Krefeld;Germany;26;27551
Rituals Norderstedt Herold-Center;Berliner Allee 40;22850;Norderstedt;Germany;26;37341
Rituals Fulda;Bahnhofstraße 7;36037;Fulda;Germany;38;10622
Rituals Berlin Airport Schönefeld;Willy-Brandt-Platz 2;12529;Schönefeld Berlin;Germany;28;38411
Rituals Kiel Sophienhof;Sophienblatt 20;24103;Kiel;Germany;37;35813
Rituals Neuss;Büchel 18;41460;Neuss;Germany;22;22556
Rituals Göttingen;Weenderstraße 51;37073;Göttingen;Germany;25;12331
Rituals Marburg 2M Mall;Universitätsstraße 8;35037;Marburg;Germany;50;10188
Rituals Velbert;Kolpingstraße 10;42551;Velbert;Germany;32;11334
Rituals Hamburg Phoenixcenter;Hannoversche Straße 86;21079;Hamburg;Germany;40;21543
Rituals Kassel Obere Königsstraße;Obere Königsstraße 45;34117;Kassel;Germany;15;36170
Rituals Saarbrücken;Bahnhofstrasse 74;66111;Saarbrücken;Germany;35;33078
Rituals Amberg;Georgenstraße 9;92224;Amberg;Germany;34;36058
Rituals Regensburg Donau Einkaufszentrum;Weichser Weg 5;93059;Regensburg;Germany;36;41698
Rituals Zwickau Arcaden;Innere Plauensche Straße 14;08056;Zwickau;Germany;15;46340
Rituals Frankfurt Skyline Plaza;Europaallee 6;60327;Frankfurt;Germany;45;39265
Rituals Karlsruhe;Kaiserstraße 209;76133;Karlsruhe;Germany;36;28656
Rituals Bielefeld Niedernstraße;Niedernstraße 18;33602;Bielefeld;Germany;50;18725
Rituals Chemnitz Galerie Roter Turm;Neumarkt 2;09111;Chemnitz;Germany;18;20895
Rituals Wertheim Village;Almosenberg;97877;Wertheim;Germany;34;49112
Rituals Moers;Steinstraße 18;47441;Moers;Germany;25;47865
Rituals Frankfurt NWZ;Limescorso 8;60439;Frankfurt am Main;Germany;24;13082
Rituals Osnabrück;Große Straße 45;49074;Osnabrück;Germany;49;44444
Rituals Wesel;Hohe Straße 74 / Beguinenstraße 2a;46483;Wesel;Germany;17;41245
Rituals Augsburg City-Galerie;Willy-Brandt-Platz 1;86153;Augsburg;Germany;19;22201
Rituals Berlin Gropius Passagen;Johannisthaler Chaussee 317;12351;Berlin;Germany;45;36054
Rituals Cottbus BLECHEN carré;Karl-Liebknecht-Straße 136;03046;Cottbus;Germany;44;33326
Rituals Lübeck CITTI-PARK;Herrenholz 14;23556;Lübeck;Germany;50;11370
Rituals Unna;Bahnhofstraße 6;59423;Unna;Germany;27;38283
Rituals Flensburg;Holm 27;24937;Flensburg;Germany;16;42646
Rituals München Leopoldstraße;Leopoldstrasse 37;80802;München;Germany;47;24453
Rituals Wetzlar Forum;Am Forum 1;35576;Wetzlar;Germany;32;22958
Rituals Halle Leipziger Straße;Leipziger Straße 16;06108;Halle;Germany;16;39038
Rituals Braunschweig Hutfiltern;Hutfiltern 4;38100;Braunschweig;Germany;34;27650
Rituals Berlin Wilmersdorfer Arcaden;Wilmersdorfer Straße 46;10627;Berlin;Germany;15;42794
Rituals Hanau;Langstrasse 47;63450;Hanau;Germany;35;35041
Rituals Siegburg;Kaiserstraße 15;53721;Siegburg;Germany;43;10328
Rituals Bad Oeynhausen Werre Park;Mindener Straße 22;32547;Bad Oeynhausen;Germany;28;35296
Rituals Iserlohn;Wermingser Straße 12;58636;Iserlohn;Germany;42;10738
Rituals Bocholt Neutor;Neutorplatz 2-4;46395;Bocholt;Germany;41;38007
Rituals Neubrandenburg Marien-Carreé;Treptower Straße 1;17033;Neubrandenburg;Germany;30;10950
Rituals Schwerin Schlosspark-Center;Am Marienplatz 5;19053;Schwerin;Germany;34;40799
Rituals Herne;Bahnhofstraße 31;44623;Herne;Germany;15;32536
Rituals Chemnitz Center;Ringstrasse 17;09247;Chemnitz;Germany;39;22100
Rituals Leipzig Paunsdorf;Paunsdorfer Allee 1;04329;Leipzig;Germany;24;37059
Rituals Lippstadt;Lange Straße 53;59555;Lippstadt;Germany;23;20530
Rituals Hilden;Mittelstraße 29-33;40721;Hilden;Germany;27;41119
Rituals Hamburg AEZ;Heegbarg 31;22391;Hamburg;Germany;48;27413
Rituals Oldenburg;Achternstraße 8;26122;Oldenburg;Germany;28;14210
Rituals Bad Homburg;Louisenstraße 63;61348;Bad Homburg;Germany;37;34048
Rituals Bochum Kortumstrasse;Kortumstraße 68;44787;Bochum;Germany;48;39088
Rituals Hamburg Sachsentor;Sachsentor 36;21029;Hamburg;Germany;33;20430
Rituals Ulm;Münsterplatz 45;89073;Ulm;Germany;21;24569
Rituals Potsdam Stern Center;Stern Center 1-10;14480;Potsdam-Drewitz;Germany;30;21214
Rituals Leer;Mühlenstraße 112;26789;Leer;Germany;45;39494
Rituals Augsburg;Bürgermeister Fischer Straße 11;86150;Augsburg;Germany;29;35917
Rituals Speyer;Maximilianstraße 49;67346;Speyer;Germany;16;39890
Rituals Kassel DEZ;Frankfurter Strasse 225;34134;Kassel;Germany;48;13830
Rituals Hamburg Spitaler Straße;Spitaler Straße 16;20095;Hamburg;Germany;30;36306
Rituals Goslar;Fischemäkerstraße 5;38640;Goslar;Germany;29;35374
Rituals Ravensburg;Marienplatz 51;88212;Ravensburg;Germany;15;23936
Rituals Aachen Aquis Plaza;Adalbertstraße 100;52062;Aachen;Germany;30;46375
Rituals Trier;Fleischstraße 84;54290;Trier;Germany;46;22508
Rituals Bochum Ruhr-Park;Am Einkaufszentrum 1;44791;Bochum;Germany;15;26653
Rituals Baden-Baden;Lange Straße 11;76530;Baden-Baden;Germany;17;25085
Rituals Weimar;Wielandstraße 2;99423;Weimar;Germany;27;11798
Rituals Ludwigsburg Marstall;Marstallstraße 1;71634;Ludwigsburg;Germany;49;24176
Rituals Wolfsburg Designer Outlets;An der Vorburg 1;38440;Wolfsburg;Germany;37;41658
Rituals Neumünster;Gänsemarkt 1;24534;Neumünster;Germany;39;30790
Rituals Hamburg Mercado;Ottenser Hauptstraße 10;22765;Hamburg;Germany;35;49611
Rituals Jena Goethe Galerie;Goethestrasse 3b;07743;Jena;Germany;31;42663
Rituals Heidelberg Hauptstraße;Hauptstraße 25;69117;Heidelberg;Germany;44;22826
Rituals Berlin Forum Köpenick;Bahnhofstraße 33-38;12555;Berlin;Germany;30;14803
Rituals München Kaufingerstraße;Kaufingerstraße 5;80331;München;Germany;43;13590
Rituals Hürth Park;Hürth-Park B013;50354;Hürth;Germany;17;26636
Rituals Pforzheim Schlössle Galerie; Kiehnlestraße 14-16;75172;Pforzheim;Germany;34;27653
Rituals Berlin East Side Mall; Tamara-Danz-Straße 11;10243;Berlin;Germany;27;31708
Rituals Memmingen Kramerstrasse;Kramerstrasse 30;87700;Memmingen;Germany;37;40214
Rituals Hamburg Wandsbek Quarree; Quarree 8-10;22041;Hamburg;Germany;33;15653
